verb	frame	polarity	sentence	veridicalitylike	veridicalitynorm
tempt	NP Ved NP to VP[+eventive]	negative	Someone didn\'t tempt a particular person to do a particular thing.	-0.426586	0.76097393
tempt	NP Ved NP to VP[+eventive]	positive	Someone tempted a particular person to do a particular thing.	-0.39100522	0.76097393
convince	NP was Ved to VP[-eventive]	positive	A particular person was convinced to have a particular thing.	-0.54857576	0.75898474
convince	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t convinced to have a particular thing.	-0.6467708	0.75898474
trick	NP was Ved to VP[+eventive]	positive	A particular person was tricked to do a particular thing.	-0.7432575	0.7589317
trick	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t tricked to do a particular thing.	-1.1925443	0.7589317
pester	NP was Ved that S	positive	Someone was pestered that a particular thing happened	-0.45998782	0.7523613
pester	NP was Ved that S	negative	Someone wasn\'t pestered that a particular thing happened	-0.38364202	0.7523613
ignore	NP Ved that S	positive	Someone ignored that a particular thing happened	-0.2535284	0.74637675
ignore	NP Ved that S	negative	Someone didn\'t ignore that a particular thing happened	-0.29858536	0.74637675
reaffirm	NP was Ved to VP[-eventive]	positive	A particular person was reaffirmed to have a particular thing.	-0.56168836	0.74418765
reaffirm	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t reaffirmed to have a particular thing.	-0.6641288	0.74418765
realize	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t realized to have a particular thing.	-0.9328473	0.7441781
realize	NP was Ved to VP[-eventive]	positive	A particular person was realized to have a particular thing.	-0.48072225	0.7441781
incite	NP Ved NP to VP[+eventive]	negative	Someone didn\'t incite a particular person to do a particular thing.	-0.671812	0.74388254
incite	NP Ved NP to VP[+eventive]	positive	Someone incited a particular person to do a particular thing.	-0.5332893	0.74388254
acknowledge	NP Ved that S	positive	Someone acknowledged that a particular thing happened	-0.17490454	0.7433736
acknowledge	NP Ved that S	negative	Someone didn\'t acknowledge that a particular thing happened	-0.40514058	0.7433736
confess	NP Ved to VP[+eventive]	positive	A particular person confessed to do a particular thing.	-0.4494563	0.74135613
confess	NP Ved to VP[+eventive]	negative	A particular person didn\'t confess to do a particular thing.	-0.46219897	0.74135613
show	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t shown to have a particular thing.	-0.6572592	0.73914456
show	NP was Ved to VP[-eventive]	positive	A particular person was shown to have a particular thing.	-0.5795794	0.73914456
cajole	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t cajoled to do a particular thing.	-0.8377285	0.73756915
cajole	NP was Ved to VP[+eventive]	positive	A particular person was cajoled to do a particular thing.	-0.52262783	0.73756915
deceive	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t deceived to do a particular thing.	-0.95175767	0.7361926
deceive	NP was Ved to VP[+eventive]	positive	A particular person was deceived to do a particular thing.	-0.5409219	0.7361926
cringe	NP Ved that S	negative	Someone didn\'t cringe that a particular thing happened	-0.28617042	0.73428166
cringe	NP Ved that S	positive	Someone cringed that a particular thing happened	-0.14676026	0.73428166
praise	NP was Ved to VP[-eventive]	positive	A particular person was praised to have a particular thing.	-0.4759551	0.72986066
praise	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t praised to have a particular thing.	-0.5411666	0.72986066
opt	NP Ved to VP[+eventive]	positive	A particular person opted to do a particular thing.	-0.5503711	0.7280574
opt	NP Ved to VP[+eventive]	negative	A particular person didn\'t opt to do a particular thing.	-0.8277102	0.7280574
bribe	NP Ved NP to VP[+eventive]	positive	Someone bribed a particular person to do a particular thing.	-0.44535157	0.7267896
bribe	NP Ved NP to VP[+eventive]	negative	Someone didn\'t bribe a particular person to do a particular thing.	-0.38869223	0.7267896
terrify	NP was Ved to VP[-eventive]	positive	A particular person was terrified to have a particular thing.	-0.6478249	0.7251701
terrify	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t terrified to have a particular thing.	-0.5108809	0.7251701
select	NP Ved to VP[-eventive]	positive	A particular person selected to have a particular thing.	-0.48198193	0.72109616
select	NP Ved to VP[-eventive]	negative	A particular person didn\'t select to have a particular thing.	-0.5784885	0.72109616
concern	NP was Ved that S	positive	Someone was concerned that a particular thing happened	-0.17719133	0.7203689
concern	NP was Ved that S	negative	Someone wasn\'t concerned that a particular thing happened	-0.24245167	0.7203689
complain	NP Ved that S	negative	Someone didn\'t complain that a particular thing happened	-0.31057757	0.7125835
complain	NP Ved that S	positive	Someone complained that a particular thing happened	-0.1653619	0.7125835
acclaim	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t acclaimed to have a particular thing.	-0.3665475	0.71257323
acclaim	NP was Ved to VP[-eventive]	positive	A particular person was acclaimed to have a particular thing.	-0.6273538	0.71257323
dislike	NP Ved to VP[+eventive]	negative	A particular person didn\'t dislike to do a particular thing.	-0.41917574	0.70864046
dislike	NP Ved to VP[+eventive]	positive	A particular person disliked to do a particular thing.	-0.35816845	0.70864046
designate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t designated to have a particular thing.	-0.46909732	0.70666
designate	NP was Ved to VP[-eventive]	positive	A particular person was designated to have a particular thing.	-0.46795252	0.70666
declare	NP Ved to VP[-eventive]	negative	A particular person didn\'t declare to have a particular thing.	-0.6198736	0.7026351
declare	NP Ved to VP[-eventive]	positive	A particular person declared to have a particular thing.	-0.5560154	0.7026351
gush	NP Ved that S	positive	Someone gushed that a particular thing happened	-0.25280708	0.6990614
gush	NP Ved that S	negative	Someone didn\'t gush that a particular thing happened	-0.36978737	0.6990614
love	NP Ved to VP[+eventive]	negative	A particular person didn\'t love to do a particular thing.	-0.3924706	0.6987702
love	NP Ved to VP[+eventive]	positive	A particular person loved to do a particular thing.	-0.5177614	0.6987702
use	NP Ved to VP[+eventive]	positive	A particular person used to do a particular thing.	-0.6492716	0.6983741
use	NP Ved to VP[+eventive]	negative	A particular person didn\'t use to do a particular thing.	-0.9102686	0.6983741
see	NP was Ved to VP[-eventive]	positive	A particular person was seen to have a particular thing.	-0.5309799	0.69744873
see	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t seen to have a particular thing.	-0.59000754	0.69744873
disregard	NP Ved that S	negative	Someone didn\'t disregard that a particular thing happened	-0.3462097	0.69387835
disregard	NP Ved that S	positive	Someone disregarded that a particular thing happened	-0.6022904	0.69387835
decide	NP Ved to VP[+eventive]	negative	A particular person didn\'t decide to do a particular thing.	-0.7251793	0.6906873
decide	NP Ved to VP[+eventive]	positive	A particular person decided to do a particular thing.	-0.63438314	0.6906873
move	NP was Ved to VP[+eventive]	positive	A particular person was moved to do a particular thing.	-0.74745315	0.6905955
move	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t moved to do a particular thing.	-0.9864451	0.6905955
hearten	NP was Ved that S	negative	Someone wasn\'t heartened that a particular thing happened	-0.3609066	0.6863148
hearten	NP was Ved that S	positive	Someone was heartened that a particular thing happened	-0.30902168	0.6863148
hush_up	NP Ved that S	positive	Someone hushed up that a particular thing happened	-0.1973809	0.68246144
hush_up	NP Ved that S	negative	Someone didn\'t hush up that a particular thing happened	-0.27429485	0.68246144
swear	NP was Ved to VP[+eventive]	positive	A particular person was sworn to do a particular thing.	-0.46969405	0.6819698
swear	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t sworn to do a particular thing.	-0.31086117	0.6819698
howl	NP Ved that S	positive	Someone howled that a particular thing happened	-0.24674284	0.68149483
howl	NP Ved that S	negative	Someone didn\'t howl that a particular thing happened	-0.39229274	0.68149483
require	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t required to have a particular thing.	-0.4172511	0.67949253
require	NP was Ved to VP[-eventive]	positive	A particular person was required to have a particular thing.	-0.44997314	0.67949253
grieve	NP Ved that S	positive	Someone grieved that a particular thing happened	-0.2420195	0.67356396
grieve	NP Ved that S	negative	Someone didn\'t grieve that a particular thing happened	-0.21592325	0.67356396
convince	NP Ved NP to VP[+eventive]	positive	Someone convinced a particular person to do a particular thing.	-0.7519721	0.670014
convince	NP Ved NP to VP[+eventive]	negative	Someone didn\'t convince a particular person to do a particular thing.	-0.9459489	0.670014
humble	NP was Ved to VP[+eventive]	positive	A particular person was humbled to do a particular thing.	-0.5934058	0.66940224
humble	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t humbled to do a particular thing.	-0.5997555	0.66940224
hurt	NP Ved NP to VP[-eventive]	positive	Someone hurt a particular person to have a particular thing.	-0.42409593	0.66915214
hurt	NP Ved NP to VP[-eventive]	negative	Someone didn\'t hurt a particular person to have a particular thing.	-0.33168197	0.66915214
opt	NP Ved to VP[-eventive]	positive	A particular person opted to have a particular thing.	-0.79340094	0.6638921
opt	NP Ved to VP[-eventive]	negative	A particular person didn\'t opt to have a particular thing.	-1.2123493	0.6638921
clarify	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t clarified to have a particular thing.	-0.6279252	0.65639156
clarify	NP was Ved to VP[-eventive]	positive	A particular person was clarified to have a particular thing.	-0.64362514	0.65639156
like	NP Ved to VP[+eventive]	positive	A particular person liked to do a particular thing.	-0.3711608	0.6556756
like	NP Ved to VP[+eventive]	negative	A particular person didn\'t like to do a particular thing.	-0.2472796	0.6556756
exploit	NP was Ved to VP[+eventive]	positive	A particular person was exploited to do a particular thing.	-0.69320387	0.6543723
exploit	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t exploited to do a particular thing.	-0.83383995	0.6543723
bug	NP was Ved to VP[-eventive]	positive	A particular person was bugged to have a particular thing.	-0.3952463	0.65151954
bug	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t bugged to have a particular thing.	-0.38653377	0.65151954
fluster	NP was Ved to VP[+eventive]	positive	A particular person was flustered to do a particular thing.	-0.2734805	0.6490455
fluster	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t flustered to do a particular thing.	-0.45325935	0.6490455
provoke	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t provoked to do a particular thing.	-0.4403789	0.6478557
provoke	NP was Ved to VP[+eventive]	positive	A particular person was provoked to do a particular thing.	-0.48947743	0.6478557
divulge	NP Ved that S	positive	Someone divulged that a particular thing happened	-0.34107023	0.6453922
divulge	NP Ved that S	negative	Someone didn\'t divulge that a particular thing happened	-0.35162404	0.6453922
remain	NP Ved for NP to VP	negative	Someone didn\'t remain for a particular thing to happen.	-0.7394927	0.64256465
remain	NP Ved for NP to VP	positive	Someone remained for a particular thing to happen.	-0.42905378	0.64256465
repress	NP Ved that S	negative	Someone didn\'t repress that a particular thing happened	-0.31961074	0.63428575
repress	NP Ved that S	positive	Someone repressed that a particular thing happened	-0.3506136	0.63428575
tease	NP was Ved to VP[-eventive]	positive	A particular person was teased to have a particular thing.	-0.4500604	0.6301292
tease	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t teased to have a particular thing.	-0.22127782	0.6301292
agree	NP Ved for NP to VP	negative	Someone didn\'t agree for a particular thing to happen.	-0.46542913	0.62744826
agree	NP Ved for NP to VP	positive	Someone agreed for a particular thing to happen.	-0.36155936	0.62744826
allow	NP Ved NP to VP[-eventive]	negative	Someone didn\'t allow a particular person to have a particular thing.	-1.076008	0.62689716
allow	NP Ved NP to VP[-eventive]	positive	Someone allowed a particular person to have a particular thing.	-0.65088385	0.62689716
trouble	NP was Ved to VP[+eventive]	positive	A particular person was troubled to do a particular thing.	-0.57307637	0.62649375
trouble	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t troubled to do a particular thing.	-0.61933076	0.62649375
testify	NP Ved to VP[-eventive]	negative	A particular person didn\'t testify to have a particular thing.	-0.34689087	0.6262845
testify	NP Ved to VP[-eventive]	positive	A particular person testified to have a particular thing.	-0.48500606	0.6262845
snitch	NP Ved that S	negative	Someone didn\'t snitch that a particular thing happened	-0.4362726	0.6251452
snitch	NP Ved that S	positive	Someone snitched that a particular thing happened	-0.33025303	0.6251452
induce	NP was Ved to VP[+eventive]	positive	A particular person was induced to do a particular thing.	-0.76166224	0.6207083
induce	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t induced to do a particular thing.	-1.0191816	0.6207083
terrify	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t terrified to do a particular thing.	-0.3982368	0.6205806
terrify	NP was Ved to VP[+eventive]	positive	A particular person was terrified to do a particular thing.	-0.33290818	0.6205806
move	NP Ved NP to VP[+eventive]	positive	Someone moved a particular person to do a particular thing.	-0.5990189	0.618828
move	NP Ved NP to VP[+eventive]	negative	Someone didn\'t move a particular person to do a particular thing.	-0.7337713	0.618828
assess	NP was Ved to VP[-eventive]	positive	A particular person was assessed to have a particular thing.	-0.8136541	0.6183971
assess	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t assessed to have a particular thing.	-0.9790141	0.6183971
compel	NP was Ved to VP[+eventive]	positive	A particular person was compelled to do a particular thing.	-0.44437745	0.6158849
compel	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t compelled to do a particular thing.	-0.43407214	0.6158849
bully	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t bullied to do a particular thing.	-0.29976568	0.61454487
bully	NP was Ved to VP[+eventive]	positive	A particular person was bullied to do a particular thing.	-0.49887592	0.61454487
volunteer	NP Ved to VP[-eventive]	negative	A particular person didn\'t volunteer to have a particular thing.	-0.21916051	0.6121495
volunteer	NP Ved to VP[-eventive]	positive	A particular person volunteered to have a particular thing.	-0.35457847	0.6121495
guarantee	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t guaranteed to do a particular thing.	-0.4011322	0.6114301
guarantee	NP was Ved to VP[+eventive]	positive	A particular person was guaranteed to do a particular thing.	-0.38690716	0.6114301
ordain	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t ordained to do a particular thing.	-0.45346105	0.6113437
ordain	NP was Ved to VP[+eventive]	positive	A particular person was ordained to do a particular thing.	-0.4632571	0.6113437
grunt	NP Ved to VP[+eventive]	positive	A particular person grunted to do a particular thing.	-0.45286766	0.6111229
grunt	NP Ved to VP[+eventive]	negative	A particular person didn\'t grunt to do a particular thing.	-0.42988986	0.6111229
piece_together	NP Ved that S	negative	Someone didn\'t piece together that a particular thing happened	-0.3961074	0.60846144
piece_together	NP Ved that S	positive	Someone pieced together that a particular thing happened	-0.2544444	0.60846144
fax	NP Ved that S	positive	Someone faxed that a particular thing happened	-0.44273734	0.60282326
fax	NP Ved that S	negative	Someone didn\'t fax that a particular thing happened	-0.4782764	0.60282326
control	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t controlled to do a particular thing.	-0.2980746	0.60177493
control	NP was Ved to VP[+eventive]	positive	A particular person was controlled to do a particular thing.	-0.5788849	0.60177493
incite	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t incited to do a particular thing.	-0.70891136	0.60091186
incite	NP was Ved to VP[+eventive]	positive	A particular person was incited to do a particular thing.	-0.6148315	0.60091186
foresee	NP Ved NP to VP[-eventive]	positive	Someone foresaw a particular person to have a particular thing.	-0.39231914	0.5965091
foresee	NP Ved NP to VP[-eventive]	negative	Someone didn\'t foresee a particular person to have a particular thing.	-0.3177286	0.5965091
deem	NP Ved NP to VP[-eventive]	positive	Someone deemed a particular person to have a particular thing.	-0.57170564	0.5964348
deem	NP Ved NP to VP[-eventive]	negative	Someone didn\'t deem a particular person to have a particular thing.	-0.313921	0.5964348
judge	NP Ved NP to VP[-eventive]	negative	Someone didn\'t judge a particular person to have a particular thing.	-0.52193326	0.59627163
judge	NP Ved NP to VP[-eventive]	positive	Someone judged a particular person to have a particular thing.	-0.4595853	0.59627163
grin	NP Ved that S	positive	Someone grinned that a particular thing happened	-0.26143518	0.59005773
grin	NP Ved that S	negative	Someone didn\'t grin that a particular thing happened	-0.40280998	0.59005773
crush	NP was Ved that S	negative	Someone wasn\'t crushed that a particular thing happened	-0.25901297	0.5877895
crush	NP was Ved that S	positive	Someone was crushed that a particular thing happened	-0.22485135	0.5877895
coax	NP Ved NP to VP[+eventive]	positive	Someone coaxed a particular person to do a particular thing.	-0.66019815	0.58714044
coax	NP Ved NP to VP[+eventive]	negative	Someone didn\'t coax a particular person to do a particular thing.	-0.8893142	0.58714044
torment	NP Ved NP to VP[+eventive]	negative	Someone didn\'t torment a particular person to do a particular thing.	-0.47063702	0.581579
torment	NP Ved NP to VP[+eventive]	positive	Someone tormented a particular person to do a particular thing.	-0.5697575	0.581579
train	NP Ved NP to VP[+eventive]	negative	Someone didn\'t train a particular person to do a particular thing.	-0.48412013	0.5815521
train	NP Ved NP to VP[+eventive]	positive	Someone trained a particular person to do a particular thing.	-0.45454144	0.5815521
happen	NP Ved to VP[+eventive]	negative	A particular person didn\'t happen to do a particular thing.	-1.1489869	0.57655454
happen	NP Ved to VP[+eventive]	positive	A particular person happened to do a particular thing.	-0.6884943	0.57655454
deem	NP was Ved to VP[-eventive]	positive	A particular person was deemed to have a particular thing.	-0.5817376	0.5712817
deem	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t deemed to have a particular thing.	-0.76542175	0.5712817
cackle	NP Ved that S	negative	Someone didn\'t cackle that a particular thing happened	-0.27955818	0.5678026
cackle	NP Ved that S	positive	Someone cackled that a particular thing happened	-0.2962734	0.5678026
jump	NP Ved to VP[+eventive]	positive	A particular person jumped to do a particular thing.	-0.6093402	0.5677642
jump	NP Ved to VP[+eventive]	negative	A particular person didn\'t jump to do a particular thing.	-0.8682064	0.5677642
torture	NP Ved NP to VP[-eventive]	positive	Someone tortured a particular person to have a particular thing.	-0.513661	0.5637309
torture	NP Ved NP to VP[-eventive]	negative	Someone didn\'t torture a particular person to have a particular thing.	-0.3911725	0.5637309
decree	NP was Ved to VP[+eventive]	positive	A particular person was decreed to do a particular thing.	-0.48502442	0.56261075
decree	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t decreed to do a particular thing.	-0.28903186	0.56261075
decree	NP Ved to VP[-eventive]	negative	A particular person didn\'t decree to have a particular thing.	-0.17248198	0.5613125
decree	NP Ved to VP[-eventive]	positive	A particular person decreed to have a particular thing.	-0.40287742	0.5613125
enrage	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t enraged to do a particular thing.	-0.643595	0.55578804
enrage	NP was Ved to VP[+eventive]	positive	A particular person was enraged to do a particular thing.	-0.53281224	0.55578804
use	NP Ved NP to VP[+eventive]	negative	Someone didn\'t use a particular person to do a particular thing.	-0.8163585	0.5548276
use	NP Ved NP to VP[+eventive]	positive	Someone used a particular person to do a particular thing.	-0.7161492	0.5548276
command	NP was Ved to VP[-eventive]	positive	A particular person was commanded to have a particular thing.	-0.3650795	0.5534665
command	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t commanded to have a particular thing.	-0.2331042	0.5534665
require	NP Ved NP to VP[-eventive]	positive	Someone required a particular person to have a particular thing.	-0.35939345	0.54965293
require	NP Ved NP to VP[-eventive]	negative	Someone didn\'t require a particular person to have a particular thing.	-0.38832378	0.54965293
buy	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t bought to do a particular thing.	-0.38202882	0.54864275
buy	NP was Ved to VP[+eventive]	positive	A particular person was bought to do a particular thing.	-0.3996295	0.54864275
license	NP was Ved to VP[-eventive]	positive	A particular person was licensed to have a particular thing.	-0.347766	0.54428273
license	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t licensed to have a particular thing.	-0.24222104	0.54428273
reminisce	NP Ved that S	positive	Someone reminisced that a particular thing happened	-0.350614	0.5437725
reminisce	NP Ved that S	negative	Someone didn\'t reminisce that a particular thing happened	-0.50112814	0.5437725
seem	NP Ved to VP[-eventive]	negative	A particular person didn\'t seem to have a particular thing.	-0.21862663	0.5430548
seem	NP Ved to VP[-eventive]	positive	A particular person seemed to have a particular thing.	-0.43632776	0.5430548
consent	NP Ved that S	negative	Someone didn\'t consent that a particular thing happened	-0.41538954	0.5414132
consent	NP Ved that S	positive	Someone consented that a particular thing happened	-0.22816214	0.5414132
force	NP Ved to VP[+eventive]	positive	A particular person forced to do a particular thing.	-0.46084416	0.54009086
force	NP Ved to VP[+eventive]	negative	A particular person didn\'t force to do a particular thing.	-0.24074039	0.54009086
compute	NP Ved that S	positive	Someone computed that a particular thing happened	-0.38992712	0.5364683
compute	NP Ved that S	negative	Someone didn\'t compute that a particular thing happened	-0.31723738	0.5364683
intend	NP Ved to VP[-eventive]	positive	A particular person intended to have a particular thing.	-0.26599053	0.53599995
intend	NP Ved to VP[-eventive]	negative	A particular person didn\'t intend to have a particular thing.	-0.3930968	0.53599995
approve	NP Ved NP to VP[-eventive]	negative	Someone didn\'t approve a particular person to have a particular thing.	-0.39213082	0.5355673
approve	NP Ved NP to VP[-eventive]	positive	Someone approved a particular person to have a particular thing.	-0.45332304	0.5355673
appoint	NP Ved NP to VP[-eventive]	negative	Someone didn\'t appoint a particular person to have a particular thing.	-0.26683003	0.53490984
appoint	NP Ved NP to VP[-eventive]	positive	Someone appointed a particular person to have a particular thing.	-0.366229	0.53490984
enlighten	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t enlightened to have a particular thing.	-0.67107236	0.533243
enlighten	NP was Ved to VP[-eventive]	positive	A particular person was enlightened to have a particular thing.	-0.6016937	0.533243
intimate	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t intimated to do a particular thing.	-0.42930698	0.5321516
intimate	NP was Ved to VP[+eventive]	positive	A particular person was intimated to do a particular thing.	-0.48301244	0.5321516
remember	NP Ved that S	positive	Someone remembered that a particular thing happened	-0.2045386	0.5273086
remember	NP Ved that S	negative	Someone didn\'t remember that a particular thing happened	-0.4577605	0.5273086
obligate	NP was Ved to VP[-eventive]	positive	A particular person was obligated to have a particular thing.	-0.40757737	0.5268352
obligate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t obligated to have a particular thing.	-0.37100723	0.5268352
find	NP Ved that S	negative	Someone didn\'t find that a particular thing happened	-0.52032125	0.52022254
find	NP Ved that S	positive	Someone found that a particular thing happened	-0.27956313	0.52022254
indicate	NP was Ved to VP[-eventive]	positive	A particular person was indicated to have a particular thing.	-0.49008036	0.51946497
indicate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t indicated to have a particular thing.	-0.27091682	0.51946497
confide	NP Ved to VP[-eventive]	positive	A particular person confided to have a particular thing.	-0.7319715	0.51751465
confide	NP Ved to VP[-eventive]	negative	A particular person didn\'t confide to have a particular thing.	-0.602467	0.51751465
use	NP was Ved to VP[+eventive]	positive	A particular person was used to do a particular thing.	-0.530938	0.51645464
use	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t used to do a particular thing.	-1.040404	0.51645464
direct	NP Ved for NP to VP	negative	Someone didn\'t direct for a particular thing to happen.	-0.4163936	0.5150164
direct	NP Ved for NP to VP	positive	Someone directed for a particular thing to happen.	-0.6377509	0.5150164
flip_out	NP Ved for NP to VP	positive	Someone flipped out for a particular thing to happen.	-0.4408885	0.5119538
flip_out	NP Ved for NP to VP	negative	Someone didn\'t flip out for a particular thing to happen.	-0.43535998	0.5119538
tease	NP Ved NP to VP[+eventive]	negative	Someone didn\'t tease a particular person to do a particular thing.	-0.3204397	0.5111695
tease	NP Ved NP to VP[+eventive]	positive	Someone teased a particular person to do a particular thing.	-0.5375273	0.5111695
restate	NP Ved that S	negative	Someone didn\'t restate that a particular thing happened	-0.4364128	0.5106099
restate	NP Ved that S	positive	Someone restated that a particular thing happened	-0.28162098	0.5106099
learn	NP Ved that S	negative	Someone didn\'t learn that a particular thing happened	-0.31598395	0.50514555
learn	NP Ved that S	positive	Someone learnt that a particular thing happened	-0.31162143	0.50514555
entice	NP Ved NP to VP[+eventive]	positive	Someone enticed a particular person to do a particular thing.	-0.6926277	0.50492203
entice	NP Ved NP to VP[+eventive]	negative	Someone didn\'t entice a particular person to do a particular thing.	-0.64602023	0.50492203
note	NP Ved that S	positive	Someone noted that a particular thing happened	-0.29692894	0.49871644
note	NP Ved that S	negative	Someone didn\'t note that a particular thing happened	-0.43319827	0.49871644
accept	NP Ved to VP[-eventive]	positive	A particular person accepted to have a particular thing.	-0.5388322	0.49858055
accept	NP Ved to VP[-eventive]	negative	A particular person didn\'t accept to have a particular thing.	-0.6000954	0.49858055
baffle	NP was Ved to VP[+eventive]	positive	A particular person was baffled to do a particular thing.	-0.36402723	0.49499658
baffle	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t baffled to do a particular thing.	-0.3274449	0.49499658
maintain	NP Ved to VP[-eventive]	positive	A particular person maintained to have a particular thing.	-0.5452127	0.49358335
maintain	NP Ved to VP[-eventive]	negative	A particular person didn\'t maintain to have a particular thing.	-0.28676677	0.49358335
repeat	NP Ved that S	negative	Someone didn\'t repeat that a particular thing happened	-0.4071757	0.49213314
repeat	NP Ved that S	positive	Someone repeated that a particular thing happened	-0.25019175	0.49213314
shock	NP Ved NP to VP[+eventive]	negative	Someone didn\'t shock a particular person to do a particular thing.	-0.52492005	0.49184248
shock	NP Ved NP to VP[+eventive]	positive	Someone shocked a particular person to do a particular thing.	-0.50141186	0.49184248
arrange	NP Ved NP to VP[-eventive]	negative	Someone didn\'t arrange a particular person to have a particular thing.	-0.49568895	0.49074996
arrange	NP Ved NP to VP[-eventive]	positive	Someone arranged a particular person to have a particular thing.	-0.5377238	0.49074996
mention	NP was Ved to VP[-eventive]	positive	A particular person was mentioned to have a particular thing.	-0.5572049	0.48336956
mention	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t mentioned to have a particular thing.	-0.4810227	0.48336956
glimpse	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t glimpsed to have a particular thing.	-0.47006935	0.4832843
glimpse	NP was Ved to VP[-eventive]	positive	A particular person was glimpsed to have a particular thing.	-0.50993174	0.4832843
admit	NP was Ved to VP[-eventive]	positive	A particular person was admitted to have a particular thing.	-0.69541323	0.4822794
admit	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t admitted to have a particular thing.	-0.97062635	0.4822794
email	NP Ved that S	negative	Someone didn\'t email that a particular thing happened	-0.2968327	0.48007068
email	NP Ved that S	positive	Someone emailed that a particular thing happened	-0.34769407	0.48007068
conclude	NP was Ved to VP[-eventive]	positive	A particular person was concluded to have a particular thing.	-0.7561625	0.4786632
conclude	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t concluded to have a particular thing.	-0.9027392	0.4786632
brag	NP Ved that S	negative	Someone didn\'t brag that a particular thing happened	-0.47636086	0.47841993
brag	NP Ved that S	positive	Someone bragged that a particular thing happened	-0.35120866	0.47841993
bargain	NP Ved to VP[+eventive]	negative	A particular person didn\'t bargain to do a particular thing.	-0.2533213	0.47582144
bargain	NP Ved to VP[+eventive]	positive	A particular person bargained to do a particular thing.	-0.43880743	0.47582144
hate	NP Ved to VP[+eventive]	negative	A particular person didn\'t hate to do a particular thing.	-0.45807967	0.47517842
hate	NP Ved to VP[+eventive]	positive	A particular person hated to do a particular thing.	-0.22747014	0.47517842
discover	NP Ved to VP[-eventive]	positive	A particular person discovered to have a particular thing.	-0.65791804	0.4745515
discover	NP Ved to VP[-eventive]	negative	A particular person didn\'t discover to have a particular thing.	-0.76862943	0.4745515
publicize	NP Ved that S	positive	Someone publicized that a particular thing happened	-0.4132091	0.47417504
publicize	NP Ved that S	negative	Someone didn\'t publicize that a particular thing happened	-0.29982328	0.47417504
coerce	NP Ved NP to VP[-eventive]	negative	Someone didn\'t coerce a particular person to have a particular thing.	-0.6454699	0.47284314
coerce	NP Ved NP to VP[-eventive]	positive	Someone coerced a particular person to have a particular thing.	-0.5231149	0.47284314
go	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t gone to do a particular thing.	-0.5350783	0.47026005
go	NP was Ved to VP[+eventive]	positive	A particular person was gone to do a particular thing.	-0.6073541	0.47026005
sob	NP Ved that S	positive	Someone sobbed that a particular thing happened	-0.2147373	0.46726263
sob	NP Ved that S	negative	Someone didn\'t sob that a particular thing happened	-0.37289757	0.46726263
