antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
specify	positive	NP V to NP that S[+future]	object	want	future	A specified to B that C would happen	0.44213205575942993
impress	positive	NP be V that S[+future]	subject	believe	future	A was impressed that C would happen	0.7214595079421997
rebuke	positive	NP V that S	subject	believe	past	A rebuked that C happened	0.15514887869358063
depress	negative	NP be V that S[+future]	subject	believe	future	A wasn't depressed that C would happen	0.7761002779006958
gossip	positive	NP V that S	subject	want	past	A gossipped that C happened	0.7582863569259644
obsess	positive	NP V that S[+future]	subject	want	future	A obsessed that C would happen	0.90938800573349
inform	positive	NP V that S	subject	want	past	A informed that C happened	0.6157469153404236
consent	negative	NP V that S[+future]	subject	believe	future	A didn't consent that C would happen	0.2916443347930908
portray	positive	NP V to NP that S[+future]	object	want	future	A portrayed to B that C would happen	0.45385757088661194
caution	positive	NP V to NP that S[+future]	object	believe	future	A cautioned to B that C would happen	0.542853057384491
suppose	positive	NP V that S	subject	believe	past	A supposed that C happened	0.8292015790939331
gall	positive	NP be V that S	subject	want	past	A was galled that C happened	0.1406768560409546
stress	negative	NP V that S[+future]	subject	want	future	A didn't stress that C would happen	0.5327684879302979
mention	positive	NP V that S[+future]	subject	want	future	A mentioned that C would happen	0.6916835308074951
dislike	positive	NP V that S	subject	believe	past	A disliked that C happened	0.8182641267776489
kid	positive	NP V that S	subject	believe	past	A kidded that C happened	0.24024806916713715
trouble	positive	NP V that S[+future]	subject	want	future	A troubled that C would happen	0.103264719247818
compute	negative	NP V that S[+future]	subject	want	future	A didn't compute that C would happen	0.38421061635017395
delude	negative	NP V that S[+future]	subject	believe	future	A didn't delude that C would happen	0.6289510130882263
abhor	negative	NP V that S[+future]	subject	want	future	A didn't abhor that C would happen	0.5882764458656311
frustrate	positive	NP be V that S	subject	believe	past	A was frustrated that C happened	0.8328912258148193
weep	positive	NP V that S	subject	believe	past	A wept that C happened	0.8749387264251709
believe	negative	NP V NP that S[+future]	object	believe	future	A didn't believe B that C would happen	0.7383381128311157
highlight	positive	NP V that S[+future]	subject	believe	future	A highlighted that C would happen	0.8855592608451843
stress	negative	NP V to NP that S	subject	want	past	A didn't stress to B that C happened	0.3612467050552368
tweet	negative	NP V to NP that S[+future]	subject	want	future	A didn't tweet to B that C would happen	0.3582964241504669
scream	negative	NP V to NP that S[+future]	object	want	future	A didn't scream to B that C would happen	0.4512227475643158
publicize	positive	NP V to NP that S	subject	believe	past	A publicized to B that C happened	0.8921288251876831
rant	positive	NP V that S	subject	want	past	A ranted that C happened	0.08667192608118057
agree	negative	NP V to NP that S	object	believe	past	A didn't agree to B that C happened	0.2946988344192505
assure	negative	NP V to NP that S[+future]	object	believe	future	A didn't assure to B that C would happen	0.4400581121444702
convince	negative	NP V that S	subject	believe	past	A didn't convince that C happened	0.38627439737319946
jest	negative	NP V to NP that S[+future]	object	believe	future	A didn't jest to B that C would happen	0.42074304819107056
understand	negative	NP V that S	subject	want	past	A didn't understand that C happened	0.34969362616539
comment	negative	NP V to NP that S[+future]	object	want	future	A didn't comment to B that C would happen	0.43561288714408875
grumble	negative	NP V to NP that S[+future]	subject	believe	future	A didn't grumble to B that C would happen	0.4935196340084076
overwhelm	negative	NP be V that S[+future]	subject	want	future	A wasn't overwhelmed that C would happen	0.5626459717750549
envision	negative	NP V that S[-tense]	subject	want	future	A didn't envision that C happen	0.3413916826248169
crack	positive	NP V that S[+future]	subject	believe	future	A cracked that C would happen	0.733338475227356
radio	negative	NP V to NP that S	object	want	past	A didn't radio to B that C happened	0.44082096219062805
baffle	negative	NP be V that S[+future]	subject	want	future	A wasn't baffled that C would happen	0.582059383392334
plot	positive	NP V that S[-tense]	subject	want	future	A plotted that C happen	0.8685188293457031
suspect	negative	NP V that S	subject	believe	past	A didn't suspect that C happened	0.14379140734672546
renegotiate	positive	NP V that S	subject	want	past	A renegotiated that C happened	0.5735538601875305
view	positive	NP V that S[+future]	subject	want	future	A viewed that C would happen	0.587585985660553
grunt	negative	NP V that S	subject	believe	past	A didn't grunt that C happened	0.5582274794578552
assure	positive	NP V NP that S	subject	want	past	A assured B that C happened	0.7630131840705872
illustrate	positive	NP V that S[+future]	subject	want	future	A illustrated that C would happen	0.6489939093589783
retract	negative	NP V that S[+future]	subject	want	future	A didn't retract that C would happen	0.5932236313819885
rouse	negative	NP be V that S[+future]	subject	want	future	A wasn't roused that C would happen	0.43275734782218933
insert	negative	NP V that S[+future]	subject	believe	future	A didn't insert that C would happen	0.45672231912612915
snitch	negative	NP V to NP that S[+future]	subject	believe	future	A didn't snitch to B that C would happen	0.5750627517700195
complain	negative	NP V to NP that S[+future]	subject	believe	future	A didn't complain to B that C would happen	0.5465359687805176
console	negative	NP V that S	subject	want	past	A didn't console that C happened	0.5355996489524841
admit	positive	NP V that S	subject	believe	past	A admitted that C happened	0.8833730220794678
certify	positive	NP V that S[+future]	subject	believe	future	A certified that C would happen	0.892360270023346
ensure	negative	NP V that S[+future]	subject	want	future	A didn't ensure that C would happen	0.3807835280895233
stew	positive	NP V that S	subject	want	past	A stewed that C happened	0.16284038126468658
speculate	positive	NP V to NP that S	subject	believe	past	A speculated to B that C happened	0.6780694723129272
murmur	negative	NP V to NP that S	subject	want	past	A didn't murmur to B that C happened	0.4577098786830902
scoff	negative	NP V that S	subject	want	past	A didn't scoff that C happened	0.5997390151023865
babble	negative	NP V that S	subject	believe	past	A didn't babble that C happened	0.5179399251937866
sigh	negative	NP V to NP that S[+future]	object	want	future	A didn't sigh to B that C would happen	0.5301732420921326
puzzle	negative	NP be V that S[+future]	subject	believe	future	A wasn't puzzled that C would happen	0.7107617855072021
confide	negative	NP V that S	subject	want	past	A didn't confide that C happened	0.4479008615016937
guess	positive	NP V that S[+future]	subject	want	future	A guessed that C would happen	0.6046627759933472
theorize	negative	NP V to NP that S[+future]	object	believe	future	A didn't theorize to B that C would happen	0.44910183548927307
grumble	positive	NP V to NP that S[+future]	object	want	future	A grumbled to B that C would happen	0.4314710199832916
jade	negative	NP be V that S	subject	want	past	A wasn't jaded that C happened	0.6159729361534119
caution	negative	NP V that S[+future]	subject	believe	future	A didn't caution that C would happen	0.5104898810386658
bark	positive	NP V that S[+future]	subject	want	future	A barked that C would happen	0.571435809135437
disbelieve	negative	NP V that S	subject	believe	past	A didn't disbelieve that C happened	0.935045063495636
conceive	positive	NP V that S[+future]	subject	believe	future	A conceived that C would happen	0.8243168592453003
warn	negative	NP V NP that S	object	believe	past	A didn't warn B that C happened	0.3681544363498688
excite	negative	NP be V that S	subject	want	past	A wasn't excited that C happened	0.11176889389753342
expose	positive	NP V that S[+future]	subject	believe	future	A exposed that C would happen	0.8395636677742004
overestimate	negative	NP V that S	subject	believe	past	A didn't overestimate that C happened	0.5939455628395081
brainstorm	positive	NP V that S	subject	believe	past	A brainstormed that C happened	0.7392635345458984
long	positive	NP V that S[+future]	subject	want	future	A longed that C would happen	0.9417712688446045
identify	negative	NP V that S[+future]	subject	believe	future	A didn't identify that C would happen	0.32975661754608154
revolt	negative	NP be V that S[+future]	subject	want	future	A wasn't revolted that C would happen	0.6686487197875977
anguish	negative	NP V that S	subject	believe	past	A didn't anguish that C happened	0.7356593608856201
underline	positive	NP V that S	subject	want	past	A underlined that C happened	0.8176463842391968
holler	negative	NP V to NP that S[+future]	object	believe	future	A didn't holler to B that C would happen	0.46011292934417725
dictate	negative	NP V that S[+future]	subject	believe	future	A didn't dictate that C would happen	0.4064168632030487
rebuke	negative	NP be V that S[+future]	subject	believe	future	A wasn't rebuked that C would happen	0.6578291058540344
embellish	positive	NP V to NP that S	object	want	past	A embellished to B that C happened	0.6291095018386841
proclaim	positive	NP V to NP that S[+future]	object	want	future	A proclaimed to B that C would happen	0.6698354482650757
panic	positive	NP V that S[+future]	subject	want	future	A panicked that C would happen	0.06073463708162308
love	negative	NP V that S	subject	want	past	A didn't love that C happened	0.08918150514364243
petition	negative	NP be V that S	subject	believe	past	A wasn't petitioned that C happened	0.41786128282546997
oppose	positive	NP V that S[-tense]	subject	want	future	A opposed that C happen	0.08518822491168976
dishearten	negative	NP be V that S	subject	believe	past	A wasn't disheartened that C happened	0.7956731915473938
celebrate	positive	NP V that S[+future]	subject	believe	future	A celebrated that C would happen	0.8642720580101013
reveal	positive	NP V to NP that S	object	believe	past	A revealed to B that C happened	0.7074173092842102
tell	positive	NP V that S[+future]	subject	believe	future	A told that C would happen	0.9175244569778442
hold	negative	NP be V that S[+future]	subject	want	future	A wasn't held that C would happen	0.3968665599822998
blog	positive	NP V to NP that S	object	believe	past	A blogged to B that C happened	0.6615445017814636
hint	positive	NP V to NP that S[+future]	subject	believe	future	A hinted to B that C would happen	0.7417388558387756
fear	negative	NP V that S	subject	want	past	A didn't fear that C happened	0.637257993221283
ascertain	negative	NP V that S[+future]	subject	believe	future	A didn't ascertain that C would happen	0.3163508176803589
print	positive	NP V that S[+future]	subject	want	future	A printed that C would happen	0.7977412939071655
offend	positive	NP be V that S[+future]	subject	believe	future	A was offended that C would happen	0.4810362160205841
motivate	negative	NP be V that S	subject	want	past	A wasn't motivated that C happened	0.26349011063575745
mail	negative	NP V to NP that S	object	want	past	A didn't mail to B that C happened	0.37044674158096313
portend	positive	NP V that S	subject	want	past	A portended that C happened	0.6463284492492676
stammer	negative	NP V to NP that S[+future]	subject	believe	future	A didn't stammer to B that C would happen	0.46200987696647644
survey	positive	NP V that S[+future]	subject	want	future	A surveyed that C would happen	0.7418230772018433
spread	positive	NP V that S	subject	believe	past	A spread that C happened	0.8122721910476685
narrate	positive	NP V that S[+future]	subject	want	future	A narrated that C would happen	0.8186255097389221
mandate	positive	NP V that S[+future]	subject	believe	future	A mandated that C would happen	0.9298073053359985
hanker	positive	NP V that S[-tense]	subject	want	future	A hankered that C happen	0.9037449955940247
shriek	negative	NP V that S[+future]	subject	believe	future	A didn't shriek that C would happen	0.48500850796699524
snitch	negative	NP V to NP that S[+future]	object	want	future	A didn't snitch to B that C would happen	0.4030863642692566
report	positive	NP V that S[+future]	subject	believe	future	A reported that C would happen	0.9259729981422424
yell	negative	NP V to NP that S[+future]	object	want	future	A didn't yell to B that C would happen	0.4334709644317627
divulge	positive	NP V to NP that S	subject	believe	past	A divulged to B that C happened	0.931409478187561
encourage	negative	NP be V that S[+future]	subject	want	future	A wasn't encouraged that C would happen	0.2787191569805145
pretend	negative	NP V that S	subject	want	past	A didn't pretend that C happened	0.38503724336624146
instruct	negative	NP be V that S	subject	believe	past	A wasn't instructed that C happened	0.18655581772327423
lecture	positive	NP V that S[+future]	subject	believe	future	A lectured that C would happen	0.932992696762085
exclaim	positive	NP V that S	subject	believe	past	A exclaimed that C happened	0.9439396858215332
utter	negative	NP V to NP that S[-tense]	object	believe	future	A didn't utter to B that C happen	0.30408093333244324
moan	positive	NP V that S[+future]	subject	believe	future	A moaned that C would happen	0.6953200697898865
screech	negative	NP V to NP that S[+future]	subject	believe	future	A didn't screech to B that C would happen	0.367261677980423
claim	negative	NP V to NP that S	object	want	past	A didn't claim to B that C happened	0.4653221368789673
advise	positive	NP V NP that S[+future]	subject	want	future	A advised B that C would happen	0.6091868877410889
demonstrate	negative	NP V to NP that S[+future]	subject	want	future	A didn't demonstrate to B that C would happen	0.3737318217754364
confirm	positive	NP V to NP that S[+future]	subject	believe	future	A confirmed to B that C would happen	0.9371254444122314
obsess	positive	NP be V that S[+future]	subject	want	future	A was obsessed that C would happen	0.9126561880111694
stammer	negative	NP V to NP that S[+future]	subject	want	future	A didn't stammer to B that C would happen	0.4694024324417114
distrust	negative	NP V NP that S	subject	believe	past	A didn't distrust B that C happened	0.9113010168075562
determine	positive	NP be V that S[+future]	subject	believe	future	A was determined that C would happen	0.9115061163902283
coach	negative	NP be V that S[+future]	subject	believe	future	A wasn't coached that C would happen	0.3331550657749176
point_out	positive	NP V that S[+future]	subject	believe	future	A pointed out that C would happen	0.9311572909355164
flip_out	positive	NP be V that S[+future]	subject	want	future	A was flipped out that C would happen	0.10822857171297073
insinuate	negative	NP V to NP that S	subject	want	past	A didn't insinuate to B that C happened	0.3650776445865631
estimate	positive	NP V that S[+future]	subject	believe	future	A estimated that C would happen	0.9233335256576538
recommend	positive	NP V that S	subject	want	past	A recommended that C happened	0.8798579573631287
aggravate	positive	NP be V that S[+future]	subject	want	future	A was aggravated that C would happen	0.05445743352174759
warrant	negative	NP V that S	subject	want	past	A didn't warrant that C happened	0.2884068191051483
tweet	negative	NP V NP that S	subject	want	past	A didn't tweet B that C happened	0.4164021909236908
foretell	negative	NP V that S	subject	believe	past	A didn't foretell that C happened	0.3985714912414551
daunt	positive	NP be V that S[+future]	subject	want	future	A was daunted that C would happen	0.15621121227741241
phone	negative	NP V to NP that S	subject	believe	past	A didn't phone to B that C happened	0.46993982791900635
shout	negative	NP V to NP that S	object	want	past	A didn't shout to B that C happened	0.4320930540561676
foresee	negative	NP V that S[+future]	subject	want	future	A didn't foresee that C would happen	0.42885199189186096
jest	positive	NP V that S[+future]	subject	believe	future	A jested that C would happen	0.5684418082237244
hesitate	negative	NP V that S	subject	want	past	A didn't hesitate that C happened	0.7059357166290283
impress	negative	NP V that S	subject	believe	past	A didn't impress that C happened	0.513321578502655
repeat	negative	NP V to NP that S[+future]	object	want	future	A didn't repeat to B that C would happen	0.3714885115623474
distress	negative	NP be V that S[+future]	subject	want	future	A wasn't distressed that C would happen	0.7078849673271179
smell	positive	NP V that S[+future]	subject	believe	future	A smelt that C would happen	0.7950323224067688
read	negative	NP V to NP that S[+future]	object	believe	future	A didn't read to B that C would happen	0.4110206663608551
attest	positive	NP V to NP that S	subject	want	past	A attested to B that C happened	0.7114085555076599
select	positive	NP V that S[+future]	subject	believe	future	A selected that C would happen	0.9124724268913269
disgruntle	negative	NP be V that S	subject	believe	past	A wasn't disgruntled that C happened	0.7566773295402527
present	positive	NP V that S[+future]	subject	want	future	A presented that C would happen	0.8092659711837769
anguish	positive	NP V that S[+future]	subject	believe	future	A anguished that C would happen	0.6357536315917969
forgive	positive	NP V that S[+future]	subject	want	future	A forgave that C would happen	0.21204622089862823
daydream	negative	NP V that S[+future]	subject	want	future	A didn't daydream that C would happen	0.4092423617839813
forecast	negative	NP V to NP that S[+future]	object	believe	future	A didn't forecast to B that C would happen	0.363524854183197
suspect	positive	NP V that S[+future]	subject	believe	future	A suspected that C would happen	0.782134473323822
signify	positive	NP V that S	subject	want	past	A signified that C happened	0.662489652633667
showcase	positive	NP V that S[+future]	subject	want	future	A showcased that C would happen	0.8428911566734314
argue	positive	NP V to NP that S[+future]	subject	want	future	A argued to B that C would happen	0.850970983505249
convince	positive	NP V NP that S	object	want	past	A convinced B that C happened	0.5461726784706116
worry	positive	NP V that S[+future]	subject	believe	future	A worried that C would happen	0.749047040939331
embellish	positive	NP V to NP that S	object	believe	past	A embellished to B that C happened	0.6974327564239502
mock	negative	NP V that S[+future]	subject	want	future	A didn't mock that C would happen	0.5680221915245056
weep	negative	NP V to NP that S[+future]	object	believe	future	A didn't weep to B that C would happen	0.5033690333366394
bewilder	negative	NP be V that S[+future]	subject	believe	future	A wasn't bewildered that C would happen	0.7582693696022034
clarify	positive	NP V to NP that S	subject	believe	past	A clarified to B that C happened	0.9110525250434875
promise	negative	NP V to NP that S[+future]	subject	want	future	A didn't promise to B that C would happen	0.411403089761734
believe	positive	NP V that S	subject	want	past	A believed that C happened	0.6353091597557068
rave	negative	NP V that S	subject	believe	past	A didn't rave that C happened	0.5775801539421082
include	positive	NP V that S[+future]	subject	believe	future	A included that C would happen	0.8411738872528076
sulk	positive	NP V that S	subject	want	past	A sulked that C happened	0.07115438580513
chirp	negative	NP V that S	subject	believe	past	A didn't chirp that C happened	0.5005024671554565
sneer	negative	NP V to NP that S[+future]	subject	want	future	A didn't sneer to B that C would happen	0.5630877614021301
comment	positive	NP V that S	subject	want	past	A commented that C happened	0.6215498447418213
caution	positive	NP V to NP that S[+future]	object	want	future	A cautioned to B that C would happen	0.30386510491371155
remind	positive	NP V that S	subject	believe	past	A reminded that C happened	0.889037549495697
communicate	negative	NP V that S[+future]	subject	believe	future	A didn't communicate that C would happen	0.4355897903442383
claim	positive	NP V that S	subject	believe	past	A claimed that C happened	0.8767591714859009
restate	positive	NP V that S[-tense]	subject	believe	future	A restated that C happen	0.8776367902755737
showcase	negative	NP V that S	subject	believe	past	A didn't showcase that C happened	0.47614529728889465
fight	negative	NP V NP that S	object	want	past	A didn't fight B that C happened	0.6608442664146423
update	positive	NP V NP that S	subject	want	past	A updated B that C happened	0.5879354476928711
chuckle	positive	NP V that S[+future]	subject	want	future	A chuckled that C would happen	0.7677240967750549
pine	positive	NP V that S	subject	want	past	A pined that C happened	0.8310239315032959
squawk	negative	NP V to NP that S	subject	believe	past	A didn't squawk to B that C happened	0.4750533401966095
order	positive	NP V that S[-tense]	subject	want	future	A ordered that C happen	0.9119864106178284
dismay	positive	NP V that S[+future]	subject	believe	future	A dismayed that C would happen	0.6446700692176819
press	positive	NP V that S	subject	want	past	A pressed that C happened	0.8434397578239441
prove	positive	NP V to NP that S[+future]	object	believe	future	A proved to B that C would happen	0.7194657325744629
frown	positive	NP V that S	subject	want	past	A frowned that C happened	0.07292187213897705
gush	negative	NP V that S	subject	want	past	A didn't gush that C happened	0.23054325580596924
refuse	positive	NP V that S	subject	believe	past	A refused that C happened	0.06129937246441841
attest	negative	NP V to NP that S	subject	believe	past	A didn't attest to B that C happened	0.42436036467552185
uncover	positive	NP V to NP that S	object	believe	past	A uncovered to B that C happened	0.6118651628494263
yell	positive	NP V that S[+future]	subject	want	future	A yelled that C would happen	0.7275116443634033
admit	negative	NP V to NP that S	subject	want	past	A didn't admit to B that C happened	0.26858389377593994
estimate	positive	NP V that S	subject	want	past	A estimated that C happened	0.5801053047180176
applaud	negative	NP V that S	subject	believe	past	A didn't applaud that C happened	0.6499724388122559
mislead	positive	NP be V that S	subject	believe	past	A was misled that C happened	0.8331488966941833
notify	negative	NP V to NP that S	object	want	past	A didn't notify to B that C happened	0.4656483232975006
foretell	positive	NP V that S	subject	want	past	A foretold that C happened	0.5272447466850281
teach	negative	NP V NP that S[+future]	object	believe	future	A didn't teach B that C would happen	0.3251515328884125
contemplate	positive	NP V that S[+future]	subject	want	future	A contemplated that C would happen	0.5911828279495239
recount	negative	NP V that S	subject	believe	past	A didn't recount that C happened	0.3850005269050598
warn	positive	NP V NP that S[+future]	object	believe	future	A warned B that C would happen	0.6558516025543213
evaluate	negative	NP V that S[+future]	subject	believe	future	A didn't evaluate that C would happen	0.3534224033355713
chat	positive	NP V that S[+future]	subject	believe	future	A chatted that C would happen	0.8064073324203491
posit	positive	NP V that S	subject	believe	past	A posited that C happened	0.8449440598487854
witness	positive	NP V that S	subject	want	past	A witnessed that C happened	0.5011507272720337
ignore	negative	NP V that S[+future]	subject	want	future	A didn't ignore that C would happen	0.5136752724647522
frown	negative	NP V that S[+future]	subject	want	future	A didn't frown that C would happen	0.5829862356185913
say	positive	NP V that S	subject	want	past	A said that C happened	0.5047252178192139
dream	negative	NP V that S[+future]	subject	believe	future	A didn't dream that C would happen	0.35317370295524597
tweet	negative	NP V to NP that S	subject	believe	past	A didn't tweet to B that C happened	0.4447813928127289
prejudge	positive	NP V that S	subject	believe	past	A prejudged that C happened	0.7813191413879395
quote	negative	NP be V that S	subject	believe	past	A wasn't quoted that C happened	0.4763830006122589
deceive	positive	NP be V that S	subject	want	past	A was deceived that C happened	0.4856318235397339
enthrall	positive	NP be V that S	subject	want	past	A was enthralled that C happened	0.8918185830116272
infer	negative	NP V to NP that S[+future]	subject	believe	future	A didn't infer to B that C would happen	0.3647545576095581
research	positive	NP V that S[+future]	subject	believe	future	A researched that C would happen	0.804590106010437
repeat	positive	NP V to NP that S	object	want	past	A repeated to B that C happened	0.5018298625946045
announce	negative	NP V to NP that S[+future]	subject	want	future	A didn't announce to B that C would happen	0.42931902408599854
traumatize	positive	NP be V that S[+future]	subject	believe	future	A was traumatized that C would happen	0.6721386909484863
babble	positive	NP V to NP that S	object	believe	past	A babbled to B that C happened	0.7310531139373779
type	negative	NP V that S[-tense]	subject	want	future	A didn't type that C happen	0.4336117208003998
chirp	positive	NP V to NP that S[+future]	subject	want	future	A chirped to B that C would happen	0.671366274356842
justify	positive	NP V that S	subject	believe	past	A justified that C happened	0.9168158173561096
hint	negative	NP V to NP that S[+future]	object	want	future	A didn't hint to B that C would happen	0.4409310817718506
advertise	positive	NP V to NP that S[+future]	object	believe	future	A advertised to B that C would happen	0.6965928077697754
fret	negative	NP be V that S[+future]	subject	want	future	A wasn't fretted that C would happen	0.5357145071029663
scream	positive	NP V to NP that S[+future]	object	want	future	A screamed to B that C would happen	0.46291425824165344
perturb	negative	NP be V that S	subject	believe	past	A wasn't perturbed that C happened	0.81087726354599
rant	negative	NP V to NP that S[+future]	object	believe	future	A didn't rant to B that C would happen	0.45404577255249023
select	negative	NP V that S	subject	want	past	A didn't select that C happened	0.3177809417247772
concede	positive	NP V to NP that S[+future]	object	believe	future	A conceded to B that C would happen	0.8442819118499756
imagine	negative	NP V that S	subject	believe	past	A didn't imagine that C happened	0.11794523894786835
condemn	negative	NP V that S[+future]	subject	believe	future	A didn't condemn that C would happen	0.7065066695213318
enjoy	negative	NP V that S	subject	believe	past	A didn't enjoy that C happened	0.9128633737564087
dream	positive	NP V that S[+future]	subject	want	future	A dreamt that C would happen	0.7349615097045898
understand	negative	NP V that S[+future]	subject	want	future	A didn't understand that C would happen	0.33430635929107666
scribble	positive	NP V to NP that S	subject	believe	past	A scribbled to B that C happened	0.8163758516311646
marvel	positive	NP V that S	subject	want	past	A marvelled that C happened	0.757455587387085
predict	positive	NP V that S[+future]	subject	want	future	A predicted that C would happen	0.6236141324043274
regret	positive	NP V that S	subject	want	past	A regretted that C happened	0.03301109001040459
delight	positive	NP V that S[+future]	subject	want	future	A delighted that C would happen	0.9444068670272827
jabber	positive	NP V that S[-tense]	subject	believe	future	A jabbered that C happen	0.7696139216423035
verify	positive	NP V to NP that S	subject	believe	past	A verified to B that C happened	0.9262519478797913
shout	positive	NP V that S	subject	believe	past	A shouted that C happened	0.896242618560791
encourage	negative	NP be V that S	subject	want	past	A wasn't encouraged that C happened	0.06701550632715225
settle	negative	NP be V that S[+future]	subject	believe	future	A wasn't settled that C would happen	0.3285524547100067
devise	negative	NP V that S[+future]	subject	want	future	A didn't devise that C would happen	0.35175973176956177
suspect	negative	NP be V that S[-tense]	subject	want	future	A wasn't suspected that C happen	0.4006754159927368
decide	negative	NP be V that S	subject	believe	past	A wasn't decided that C happened	0.1923365741968155
distress	positive	NP be V that S	subject	believe	past	A was distressed that C happened	0.9009985327720642
fantasize	negative	NP V to NP that S[+future]	object	believe	future	A didn't fantasize to B that C would happen	0.4296179711818695
reaffirm	positive	NP V to NP that S	subject	want	past	A reaffirmed to B that C happened	0.6423707008361816
presuppose	positive	NP V that S[+future]	subject	want	future	A presupposed that C would happen	0.6164189577102661
deny	negative	NP V to NP that S	object	want	past	A didn't deny to B that C happened	0.5826568007469177
broadcast	positive	NP V to NP that S	object	want	past	A broadcasted to B that C happened	0.5682224631309509
chat	negative	NP V that S[+future]	subject	want	future	A didn't chat that C would happen	0.3420478403568268
embitter	negative	NP be V that S[+future]	subject	believe	future	A wasn't embittered that C would happen	0.6733514070510864
content	positive	NP V that S	subject	believe	past	A contented that C happened	0.888435959815979
invigorate	negative	NP be V that S[+future]	subject	want	future	A wasn't invigorated that C would happen	0.14787901937961578
disturb	positive	NP be V that S[+future]	subject	want	future	A was disturbed that C would happen	0.15229089558124542
astound	negative	NP be V that S	subject	believe	past	A wasn't astounded that C happened	0.7434929609298706
sense	negative	NP V that S[+future]	subject	want	future	A didn't sense that C would happen	0.3864678144454956
lie	positive	NP V to NP that S[+future]	subject	believe	future	A lied to B that C would happen	0.06513907760381699
wager	negative	NP V NP that S	subject	want	past	A didn't wager B that C happened	0.3840283751487732
object	positive	NP V that S	subject	believe	past	A objected that C happened	0.4614279568195343
determine	negative	NP be V that S[-tense]	subject	want	future	A wasn't determined that C happen	0.33250918984413147
admit	negative	NP V to NP that S[+future]	subject	believe	future	A didn't admit to B that C would happen	0.6859079599380493
email	positive	NP V to NP that S	object	want	past	A emailed to B that C happened	0.5881249308586121
faze	negative	NP be V that S[+future]	subject	want	future	A wasn't fazed that C would happen	0.5708081722259521
perturb	negative	NP be V that S[+future]	subject	want	future	A wasn't perturbed that C would happen	0.5777086615562439
deceive	positive	NP be V that S[+future]	subject	believe	future	A was deceived that C would happen	0.7468578219413757
fret	positive	NP V that S	subject	want	past	A fretted that C happened	0.1672385036945343
alert	positive	NP V to NP that S	object	believe	past	A alerted to B that C happened	0.7573058009147644
hanker	negative	NP be V that S	subject	believe	past	A wasn't hankered that C happened	0.7283419370651245
disgust	positive	NP be V that S	subject	believe	past	A was disgusted that C happened	0.8255108594894409
preach	negative	NP V that S	subject	believe	past	A didn't preach that C happened	0.4257051646709442
dupe	positive	NP V NP that S	object	want	past	A duped B that C happened	0.6270043849945068
fascinate	positive	NP be V that S[+future]	subject	want	future	A was fascinated that C would happen	0.7796980142593384
miss	positive	NP V that S	subject	want	past	A missed that C happened	0.5538153648376465
presume	negative	NP V that S	subject	want	past	A didn't presume that C happened	0.4086134135723114
assume	positive	NP V that S[+future]	subject	believe	future	A assumed that C would happen	0.8034006953239441
mutter	positive	NP V that S[+future]	subject	want	future	A muttered that C would happen	0.4749237298965454
urge	negative	NP be V that S	subject	want	past	A wasn't urged that C happened	0.4323313534259796
babble	negative	NP V to NP that S	subject	believe	past	A didn't babble to B that C happened	0.5091010332107544
query	positive	NP be V that S[+future]	subject	want	future	A was queried that C would happen	0.5315268635749817
blare	positive	NP V that S[+future]	subject	believe	future	A blared that C would happen	0.7823624014854431
reaffirm	negative	NP be V that S[+future]	subject	want	future	A wasn't reaffirmed that C would happen	0.4106316864490509
detest	negative	NP V that S	subject	believe	past	A didn't detest that C happened	0.7360504865646362
expect	positive	NP V that S[+future]	subject	believe	future	A expected that C would happen	0.8572966456413269
order	negative	NP V that S[-tense]	subject	believe	future	A didn't order that C happen	0.3407711088657379
transmit	negative	NP V to NP that S[+future]	object	believe	future	A didn't transmit to B that C would happen	0.3831770718097687
intrigue	positive	NP be V that S[+future]	subject	want	future	A was intrigued that C would happen	0.7621271014213562
reaffirm	negative	NP V that S[+future]	subject	want	future	A didn't reaffirm that C would happen	0.3924645185470581
testify	positive	NP V that S	subject	want	past	A testified that C happened	0.5897042155265808
view	positive	NP V that S[-tense]	subject	want	future	A viewed that C happen	0.624083399772644
inquire	positive	NP V that S	subject	believe	past	A inquired that C happened	0.602830171585083
electrify	positive	NP be V that S[-tense]	subject	believe	future	A was electrified that C happen	0.7777973413467407
transmit	positive	NP V that S	subject	want	past	A transmitted that C happened	0.669184684753418
post	negative	NP V that S[+future]	subject	believe	future	A didn't post that C would happen	0.4029112756252289
dictate	negative	NP V to NP that S	subject	believe	past	A didn't dictate to B that C happened	0.42168959975242615
figure_out	positive	NP V that S[+future]	subject	believe	future	A figured out that C would happen	0.8352781534194946
gossip	positive	NP V that S[+future]	subject	want	future	A gossipped that C would happen	0.6548248529434204
explain	positive	NP V that S	subject	believe	past	A explained that C happened	0.8577410578727722
allege	positive	NP V to NP that S	subject	want	past	A alleged to B that C happened	0.6342436671257019
chuckle	negative	NP V that S[-tense]	subject	believe	future	A didn't chuckle that C happen	0.5857979655265808
holler	positive	NP V to NP that S[+future]	object	believe	future	A hollered to B that C would happen	0.817825198173523
whimper	negative	NP V that S[+future]	subject	want	future	A didn't whimper that C would happen	0.5546739101409912
bullshit	negative	NP be V that S	subject	want	past	A wasn't bullshitted that C happened	0.5736794471740723
